Year,Park,Sampler,Stream,Rep,Fraction,Taxa,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,MeanLength(mm),IndBiomass(mg/ind),Subsample,Abundance ,Density,Biomass (mg/m2),Stage,Notes,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20
2020,GRTE,Surber,The Gusher,1,Small,1Megarcys,5,,,,,,,,,,,,,,,,,,,,5,0.68,,1,11,7.37,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,The Gusher,1,Small,Chironomidae Pupae,3.5,2.25,3,3,2.5,3,,,,,,,,,,,,,,,2.9,,,6,65,0,Pupae,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,The Gusher,1,Small,Non-Tanypodinae,4.5,3.5,4.75,3,7,3,4,4,3.75,8,4,2,3.75,3.25,5,3,5,3.5,5,8,4.4,0.03,,118,1270,43.86,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,The Gusher,1,Small,Oligochaeta,3,3,,,,,,,,,,,,,,,,,,,3,0.24,,2,22,5.16,,,0.25,0.25,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,The Gusher,1,Small,Prosimuliium,5.5,,,,,,,,,,,,,,,,,,,,5.5,0.37,,1,11,3.99,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,The Gusher,1,Large,Zapada,6,6,6.75,5.5,5.75,5,5.75,6,6.5,5.75,4.25,6.75,5,6.25,6.25,7,3,6,6.75,4,5.7,0.54,,129,1389,751.03,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,The Gusher,1,Large,Lednia,4.5,5.5,6,4.5,,,,,,,,,,,,,,,,,5.1,0.41,,4,43,17.5,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,The Gusher,1,Large,Non-Tanypodinae,11,5.25,7,10,6,4.5,10.25,10.5,10,4,8,2.75,8,8.5,5,8.25,4.5,9,9,7,7.4,0.15,,142,1529,224.89,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,The Gusher,1,Large,1Megarcys,6.5,6,4.5,5,6.5,,,,,,,,,,,,,,,,5.7,0.97,,7,75,73.1,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,The Gusher,1,Large,Prosimuliium,6,7.5,7.25,6.75,7,7.5,,,,,,,,,,,,,,,7,0.69,,6,65,44.3,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,The Gusher,1,Large,Chironomidae Pupae,3,4,4,6,,,,,,,,,,,,,,,,,4.3,,,4,43,0,Pupae,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,The Gusher,1,Large,Chironomidae Adult,5,,,,,,,,,,,,,,,,,,,,5,,,1,11,0,Adult,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,The Gusher,1,Large,Rhyacophila Brunnea/Vemna Group,12.5,,,,,,,,,,,,,,,,,,,,12.5,5.2,,1,11,55.97,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Delta Lake Inlet,3,Small,Non-Tanypodinae,4,3,2.75,5,4,5,3.5,8,4,4.5,2.25,4,3.25,4.5,3,6,5.75,4,3,3,4.1,0.03,,154,1658,47.87,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Delta Lake Inlet,3,Small,Chironomidae Adult,2.5,,,,,,,,,,,,,,,,,,,,2.5,,,2,22,0,Adult,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Delta Lake Inlet,3,Small,Zapada,2,,,,,,,,,,,,,,,,,,,,2,0.03,,1,11,0.37,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Delta Lake Inlet,3,Small,Oligochaeta,3,3.5,,,,,,,,,,,,,,,,,,,3.3,0.26,,4,43,11.18,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Delta Lake Inlet,3,Small,Chironomidae Pupae,5,,,,,,,,,,,,,,,,,,,,5,,,1,11,0,Pupae,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Delta Lake Inlet,3,Small,Rhyacophila Coloradenis Group,7,,,,,,,,,,,,,,,,,,,,7,1.23,,1,11,13.29,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Delta Lake Inlet,3,Large,Rhyacophila Verrula Group,15,,,,,,,,,,,,,,,,,,,,15,8.17,,1,11,87.97,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Delta Lake Inlet,3,Large,Non-Tanypodinae,8,7.5,4.25,9,7.5,4,4.5,6,6,7.5,7,9,8,9,4.75,5.5,5.5,7,8.5,8,6.8,0.12,,119,1281,149.23,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Delta Lake Inlet,3,Large,Rhyacophila Coloradenis Group,7,,,,,,,,,,,,,,,,,,,,7,1.23,,1,11,13.29,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Delta Lake Inlet,2,Small,Non-Tanypodinae,7.5,4,3,5,4,3,4.5,2.75,2.5,3,3.5,6.5,4.5,3.5,5,3,1.75,4,4,2,3.9,0.02,,120,1292,30.82,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Delta Lake Inlet,2,Small,Chironomidae Pupae,5,,,,,,,,,,,,,,,,,,,,5,,,1,11,0,Pupae,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Delta Lake Inlet,2,Small,Chironomidae Adult,2,,,,,,,,,,,,,,,,,,,,2,,,1,11,0,Adult,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Delta Lake Inlet,2,Large,Non-Tanypodinae,4.5,7,7,5,6,6.5,4,7.5,7.75,7,4.5,4.25,5,7.25,7.5,8,8,8.75,7.5,7,6.5,0.1,,143,1539,156.66,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Delta Lake Inlet,1,Small,Non-Tanypodinae,5.75,3.25,8,4,3.25,4,4.25,3.75,3,6,2.75,3.5,4,4.5,3,7,3.25,2.5,3,3.5,4.1,0.03,,397,4273,122.38,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Delta Lake Inlet,1,Small,Zapada,4,3.25,4,4,4,,,,,,,,,,,,,,,,3.9,0.19,,6,65,12.36,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Delta Lake Inlet,1,Small,Chironomidae Pupae,3.75,4,3,,,,,,,,,,,,,,,,,,3.6,,,3,32,0,Pupae,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Delta Lake Inlet,1,Small,Rhyacophila Coloradenis Group,5,,,,,,,,,,,,,,,,,,,,5,0.54,,1,11,5.77,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Delta Lake Inlet,1,Large,2Megarcys,26,,,,,,,,,,,,,,,,,,,,26,54.79,,,,0,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Delta Lake Inlet,1,Large,1Megarcys,7,7,,,,,,,,,,,,,,,,,,,7,1.67,,3,32,54.09,,Two small Megarcys added that were listed as Suwallia on datasheet,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Delta Lake Inlet,1,Large,Rhyacophila Alberta Group,10.5,,,,,,,,,,,,,,,,,,,,10.5,3.37,,1,11,36.32,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Delta Lake Inlet,1,Large,Non-Tanypodinae,4.5,9.5,7,9,7,3,9.5,5.25,8,4,2.5,5,4.75,9,8.5,5.5,10,4.5,7,4.5,6.4,0.1,,98,1055,102.85,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Delta Lake Inlet,1,Large,Zapada,5.5,5.5,5.5,,,,,,,,,,,,,,,,,,5.5,0.49,,3,32,15.81,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Delta Lake Inlet,1,Large,Rhyacophila Coloradenis Group,9,,,,,,,,,,,,,,,,,,,,9,2.3,,1,11,24.78,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,South Cascade RG,3,Small,Non-Tanypodinae,3,2.75,4,3,2.75,3.25,,,,,,,,,,,,,,,3.1,0.01,,6,65,0.86,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,South Cascade RG,3,Large,Non-Tanypodinae,5.5,5,,,,,,,,,,,,,,,,,,,5.3,0.06,,2,22,1.21,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,South Cascade RG,2,Small,Non-Tanypodinae,4.25,4,5,3.5,3.5,3.75,7.5,3,3.5,3.5,3.25,3.5,3.5,4,3.75,5.25,4.25,2.75,5.5,4,4.1,0.03,,36,388,10.73,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,South Cascade RG,2,Large,Non-Tanypodinae,4.5,7,4.5,7,7,5.25,7.25,,,,,,,,,,,,,,6.1,0.08,,8,86,7.26,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,South Cascade RG,1,Small,Lednia,6,,,,,,,,,,,,,,,,,,,,6,0.62,,1,11,6.63,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,South Cascade RG,1,Small,Non-Tanypodinae,6,5,3.5,4.5,4.5,6.5,3,1.5,3,6,4,4,4.5,,,,,,,,4.3,0.03,,13,140,4.56,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,South Cascade RG,1,Large,Non-Tanypodinae,8,4,7,9,7,7,8,6.5,8,4.5,4,,,,,,,,,,6.6,0.11,,11,118,12.76,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,SF Teton Creek,3,Small,Non-Tanypodinae,5.5,4.75,3.5,5,3.5,5,4,3.5,3.25,5,3.5,5,2.25,4.75,4,4.5,4.75,5.5,6,5,4.4,0.03,,100,1076,37.47,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,SF Teton Creek,3,Small,Rhyacophila Blarina,3.75,,,,,,,,,,,,,,,,,,,,3.8,0.26,,1,11,2.83,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,SF Teton Creek,3,Small,Sweltsa,4,5.5,6,6,4,,,,,,,,,,,,,,,,5.1,0.52,,5,54,28.23,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,SF Teton Creek,3,Small,1Megarcys,5.25,2.5,4.5,5.5,5,4,5,4.5,5,,,,,,,,,,,,4.6,0.54,,10,108,58.5,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,SF Teton Creek,3,Small,Epeorus,5,4,4.5,,,,,,,,,,,,,,,,,,4.5,0.46,,3,32,14.74,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,SF Teton Creek,3,Small,Zapada,3.25,5,4,5,1.75,2.25,2.5,,,,,,,,,,,,,,3.4,0.14,,7,75,10.34,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,SF Teton Creek,3,Small,Cinygmula,6,3,3,6.5,5,6,,,,,,,,,,,,,,,4.9,1.93,,9,97,186.5,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,SF Teton Creek,3,Small,Chironomidae Adult,2,,,,,,,,,,,,,,,,,,,,2,,,1,11,0,Adult,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,SF Teton Creek,3,Large,Tipula (Arctotipula),38,38,33,30,28,35,32,36,31,33,34,38,32,38,,,,,,,34,33.52,,14,151,5051.48,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,SF Teton Creek,3,Large,2Megarcys,21,,,,,,,,,,,,,,,,,,,,21,31.06,,,,0,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,SF Teton Creek,3,Large,1Megarcys,5.5,4.75,4.5,,,,,,,,,,,,,,,,,,4.9,0.65,,4,43,28.2,,3 added that were listed as Suwallia on datasheet,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,SF Teton Creek,3,Large,Simuliidae Pupae,3.5,,,,,,,,,,,,,,,,,,,,3.5,,,1,11,0,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,SF Teton Creek,3,Large,Epeorus,6.25,7,5.5,7,6,5.5,6.5,5,,,,,,,,,,,,,6.1,1.11,,8,86,95.46,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,SF Teton Creek,3,Large,Non-Tanypodinae,6,5,4.75,4,5.5,3.5,8.5,4.75,4.5,6,3.75,4,3.25,3.75,3,4,4,4.5,5.5,4,4.6,0.04,,28,301,11.86,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,SF Teton Creek,3,Large,Cinygmula,5.5,6.5,5.5,,,,,,,,,,,,,,,,,,5.8,3.07,,4,43,132.19,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,SF Teton Creek,3,Large,Zapada,6,4,,,,,,,,,,,,,,,,,,,5,0.38,,2,22,8.2,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,SF Teton Creek,3,Large,Sweltsa,4.5,7,,,,,,,,,,,,,,,,,,,5.8,0.73,,2,22,15.66,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,SF Teton Creek,3,Large,Rhyacophila Blarina,5.5,,,,,,,,,,,,,,,,,,,,5.5,0.68,,1,11,7.31,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,SF Teton Creek,3,Large,Prosimuliium,7,5.5,,,,,,,,,,,,,,,,,,,6.3,0.51,,2,22,11.06,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,SF Teton Creek,3,Large,Rhyacophila Coloradenis Group,8,,,,,,,,,,,,,,,,,,,,8,1.72,,1,11,18.5,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,SF Teton Creek,3,Large,Heterocloeon,4.25,,,,,,,,,,,,,,,,,,,,4.3,0.27,,1,11,2.87,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,SF Teton Creek,2,Small,Zapada,1.75,1.5,2,3.5,1.75,2,,,,,,,,,,,,,,,2.1,0.04,,6,65,2.45,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,SF Teton Creek,2,Small,Cinygmula,3.5,2,3.25,2,2.5,3.25,2,4.75,3,3,3,,,,,,,,,,2.9,0.47,,13,140,65.68,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,SF Teton Creek,2,Small,Sweltsa,4,3.25,4,3,5,4.75,3,4,4.75,3,4,2.5,6.5,3.5,4.5,4.5,,,,,4,0.27,,16,172,47.11,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,SF Teton Creek,2,Small,Non-Tanypodinae,3.5,2.5,2.5,3,4,4.25,4.5,5,3,2.25,3,3.5,1.75,3.5,3,2,1.5,4.5,4,3,3.2,0.01,,73,786,11.35,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,SF Teton Creek,2,Small,1Megarcys,4.5,4,5.5,6.25,1.5,5,4.5,4,5.5,,,,,,,,,,,,4.5,0.53,,9,97,50.97,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,SF Teton Creek,2,Small,Chironomidae Pupae,2.75,3,,,,,,,,,,,,,,,,,,,2.9,,,2,22,0,Pupae,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,SF Teton Creek,2,Small,Epeorus,3,5.5,6,,,,,,,,,,,,,,,,,,4.8,0.56,,3,32,18.17,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,SF Teton Creek,2,Small,Rhyacophila Blarina,5,,,,,,,,,,,,,,,,,,,,5,0.54,,1,11,5.77,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,SF Teton Creek,2,Small,Allomyia,3.5,,,,,,,,,,,,,,,,,,,,3.5,0.07,,1,11,0.76,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,SF Teton Creek,2,Large,Tipula (Arctotipula),37,33,34,42,35,38,34,33,39,33,36,35,,,,,,,,,35.8,37.89,,12,129,4894.66,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,SF Teton Creek,2,Large,1Megarcys,6,6,7,5,5,5,5,6,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,SF Teton Creek,2,Large,2Megarcys,20,21,23,17,18,,,,,,,,,,,,,,,,19.8,26.56,,13,140,3716.96,,8 samples added that were listed as Suwallia on datasheet,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,SF Teton Creek,2,Large,Cinygmula,6.5,7,6,6.5,,,,,,,,,,,,,,,,,6.5,4.13,,6,65,266.43,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,SF Teton Creek,2,Large,Prosimuliium,7.5,,,,,,,,,,,,,,,,,,,,7.5,0.82,,1,11,8.8,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,SF Teton Creek,2,Large,Sweltsa,6,7,7,,,,,,,,,,,,,,,,,,6.7,1.09,,4,43,46.86,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,SF Teton Creek,2,Large,Epeorus,5.25,5,8.5,7,7,8,7,7,7,,,,,,,,,,,,6.9,1.57,,10,108,168.83,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,SF Teton Creek,2,Large,Non-Tanypodinae,4.75,4.5,4,4,4,5.25,5,5,4.5,,,,,,,,,,,,4.6,0.04,,9,97,3.68,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,SF Teton Creek,2,Large,Zapada,4.25,,,,,,,,,,,,,,,,,,,,4.3,0.25,,1,11,2.67,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,SF Teton Creek,2,Large,Rhyacophila Blarina,4,,,,,,,,,,,,,,,,,,,,4,0.31,,1,11,3.32,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,SF Teton Creek,1,Small,Cinygmula,4.5,6.5,2.5,2.5,3.5,4.25,3.25,,,,,,,,,,,,,,3.9,0.99,,10,108,106.83,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,SF Teton Creek,1,Small,Epeorus,5,4.75,,,,,,,,,,,,,,,,,,,4.9,0.58,,2,22,12.42,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,SF Teton Creek,1,Small,Chironomidae Adult,2,,,,,,,,,,,,,,,,,,,,2,,,1,11,0,Adult,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,SF Teton Creek,1,Small,Sweltsa,5,3.5,3,4,3.75,3.5,4,4,,,,,,,,,,,,,3.8,0.24,,8,86,20.91,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,SF Teton Creek,1,Small,Rhyacophila Blarina,3.5,,,,,,,,,,,,,,,,,,,,3.5,0.22,,1,11,2.38,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,SF Teton Creek,1,Small,Zapada,3.5,,,,,,,,,,,,,,,,,,,,3.5,0.15,,1,11,1.6,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,SF Teton Creek,1,Small,Non-Tanypodinae,4.5,3,3.5,4,3,5,3,4.5,4.25,3,5,3.25,4,5,4,5,4,4,5,4,4.1,0.03,,57,614,16.84,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,SF Teton Creek,1,Large,Sweltsa,5,5,,,,,,,,,,,,,,,,,,,5,0.5,,2,22,10.7,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,SF Teton Creek,1,Large,Epeorus,7,7,7,7.5,6,,,,,,,,,,,,,,,,6.9,1.59,,6,65,102.99,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,SF Teton Creek,1,Large,Cinygmula,6,9,7,5.5,,,,,,,,,,,,,,,,,6.9,4.81,,4,43,207.01,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,SF Teton Creek,1,Large,Non-Tanypodinae,6.5,5,7,4.5,5,3.5,,,,,,,,,,,,,,,5.3,0.06,,6,65,3.64,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,SF Teton Creek,1,Large,Rhyacophila coloradenis,9,,,,,,,,,,,,,,,,,,,,9,2.3,,1,11,24.78,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,SF Teton Creek,1,Large,Tipula (Arctotipula),34,42,33,32,30,,,,,,,,,,,,,,,,34.2,34,,5,54,1830.14,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Alaska Basin RG,3,Small,Cinygmula,3.25,4.5,,,,,,,,,,,,,,,,,,,3.9,1.01,,2,22,21.64,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Alaska Basin RG,3,Small,Non-Tanypodinae,2.75,3,3,2.75,3,2.5,3,3.5,2.5,2,2.5,2.5,2.75,2.5,3,3,3,3,2.25,3.25,2.8,0.01,,157,1690,16.48,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Alaska Basin RG,3,Small,Zapada,4.5,4.5,3.5,4,4,,,,,,,,,,,,,,,,4.1,0.23,,5,54,12.16,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Alaska Basin RG,3,Small,1Megarcys,3.5,3.5,3.5,4,,,,,,,,,,,,,,,,,3.6,0.29,,4,43,12.54,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Alaska Basin RG,3,Small,Chironomidae Adult,2.75,,,,,,,,,,,,,,,,,,,,2.8,,,1,11,0,Adult,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Alaska Basin RG,3,Small,Chironomidae Pupae,5.25,,,,,,,,,,,,,,,,,,,,5.3,,,2,22,0,Pupae,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Alaska Basin RG,3,Small,Sweltsa,3,,,,,,,,,,,,,,,,,,,,3,0.12,,1,11,1.33,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Alaska Basin RG,3,Small,Baetis,3,,,,,,,,,,,,,,,,,,,,3,0.13,,1,11,1.45,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Alaska Basin RG,3,Small,Oligochaeta,2,,,,,,,,,,,,,,,,,,,,2,0.16,,1,11,1.72,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Alaska Basin RG,3,Large,2Megarcys,20,19,17,19,18,,,,,,,,,,,,,,,,18.6,22.5,,5,54,1210.72,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Alaska Basin RG,3,Large,Chironomidae Adult,4,5,,,,,,,,,,,,,,,,,,,4.5,,,2,22,0,Adult,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Alaska Basin RG,3,Large,Tipula,1.4,,,,,,,,,,,,,,,,,,,,1.4,0.01,,1,11,0.15,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Alaska Basin RG,3,Large,Oligochaeta,5.5,,,,,,,,,,,,,,,,,,,,5.5,0.44,,1,11,4.73,,,0.25,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Alaska Basin RG,3,Large,Sweltsa,7,,,,,,,,,,,,,,,,,,,,7,1.24,,1,11,13.38,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Alaska Basin RG,3,Large,Zapada,6,5.5,,,,,,,,,,,,,,,,,,,5.8,0.55,,2,22,11.85,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Alaska Basin RG,3,Large,Cinygmula,4,,,,,,,,,,,,,,,,,,,,4,1.1,,1,11,11.8,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Alaska Basin RG,3,Large,Non-Tanypodinae,8,3.5,3.25,,,,,,,,,,,,,,,,,,4.9,0.05,,4,43,2.02,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Alaska Basin RG,2,Small,Zapada,5,5.5,4,4.75,2.5,4,4.25,1,3,2.5,,,,,,,,,,,3.7,0.17,,10,108,17.9,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Alaska Basin RG,2,Small,Megarcys,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,1,11,0,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Alaska Basin RG,2,Small,Cinygmula,3,4,,,,,,,,,,,,,,,,,,,3.5,0.76,,2,22,16.39,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Alaska Basin RG,2,Small,Non-Tanypodinae,3,2.5,2.5,3.5,2.75,4,2.25,3,3,4,3.5,3,3.5,3,4,4,3.75,3.5,2.25,2.5,3.2,0.01,,254,2734,38.24,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Alaska Basin RG,2,Small,Oligochaeta,3,5,3.5,3,,,,,,,,,,,,,,,,,3.6,0.29,,6,65,18.7,,,0.25,0.25,0.25,0.25,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Alaska Basin RG,2,Small,Clinocera,3.5,,,,,,,,,,,,,,,,,,,,3.5,0.14,,1,11,1.5,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Alaska Basin RG,2,Small,Allomyia,2.75,2,,,,,,,,,,,,,,,,,,,2.4,0.02,,2,22,0.45,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Alaska Basin RG,2,Large,Zapada,3.5,3.75,,,,,,,,,,,,,,,,,,,3.6,0.16,,2,22,3.52,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Alaska Basin RG,2,Large,Non-Tanypodinae,7,3,3.75,8,3,3,3.5,3,3,3.5,7.5,3,2.5,8,4,3.5,5,3,3.75,3,4.2,0.03,,26,280,8.5,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Alaska Basin RG,2,Large,Oligochaeta,4,4.25,,,,,,,,,,,,,,,,,,,4.1,0.33,,2,22,7.09,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Alaska Basin RG,1,Small,Non-Tanypodinae,3.5,1.75,4,5,3,3,3.75,3,2,4,3,3,3.25,3.5,4,4,2.75,2.5,3,2.75,3.2,0.01,,107,1152,17,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Alaska Basin RG,1,Small,Baetis,5,3,3,4.25,3,2.5,3,,,,,,,,,,,,,,3.4,0.19,,7,75,14.21,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Alaska Basin RG,1,Small,Sweltsa,5,,,,,,,,,,,,,,,,,,,,5,0.5,,1,11,5.35,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Alaska Basin RG,1,Small,Cinygmula,2.75,,,,,,,,,,,,,,,,,,,,2.8,0.39,,1,11,4.24,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Alaska Basin RG,1,Small,Epeorus,3,,,,,,,,,,,,,,,,,,,,3,0.14,,1,11,1.5,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Alaska Basin RG,1,Small,Drunella,3,,,,,,,,,,,,,,,,,,,,3,0.09,,1,11,0.92,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Alaska Basin RG,1,Small,1Megarcys,3,,,,,,,,,,,,,,,,,,,,3,0.18,,1,11,1.9,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Alaska Basin RG,1,Large,Zapada,4,,,,,,,,,,,,,,,,,,,,4,0.21,,1,11,2.28,,,,,,,,,,,,,,,,,,,,,,
2020,GRTE,Surber,Alaska Basin RG,1,Large,Baetis,9,8,8.5,,,,,,,,,,,,,,,,,,8.5,2.29,,3,32,74.07,,,,,,,,,,,,,,,,,,,,,,
